Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
58        ,mp-11705  ,Dy2Fe2Si2C,     128.0,     125.0,79.0      ,0.23      ,2.28      ,   64.6103,      12.6,         0
59        ,mp-12537  ,Ti2GaC    ,     139.0,     139.0,108.0     ,0.19      ,1.76      ,43.20023333333334,    16.006,         0
60        ,mp-12572  ,CaPd3C    ,     115.0,     115.0,7.0       ,0.45      ,1.94      ,52.836233333333325,    13.247,0.23726772399999874
61        ,mp-1282   ,VC        ,     307.0,     307.0,203.0     ,0.23      ,1.71      ,   31.4761,    25.125,0.08783259555555745
62        ,mp-12990  ,Ti2AlC    ,     137.0,     137.0,112.0     ,0.18      ,1.76      ,28.953079533333334,    16.212,         0
63        ,mp-13070  ,Sc2AlC    ,      86.0,      86.0,53.0      ,0.24      ,1.84      ,27.982716866666667,     7.419,0.09967529890625304
64        ,mp-13071  ,Sc2TlC    ,      80.0,      79.0,49.0      ,0.23      ,1.84      ,87.11663733333332,      8.02,0.010411887500000105
65        ,mp-13136  ,WC        ,     365.0,     365.0,142.0     ,0.32      ,1.93      ,97.92535000000001,     25.25,0.44765906499999986
66        ,mp-13137  ,Hf2CS     ,     177.0,     177.0,122.0     ,0.22      ,2.08      ,74.18856666666666,    17.304,         0
67        ,mp-13154  ,Fe3C      ,     198.0,     198.0,89.0      ,0.3       ,1.56      ,  33.92785,     14.77,0.055190436250001085
68        ,mp-13263  ,Ce2Mo2C3  ,     141.0,     133.0,78.0      ,0.25      ,1.9       ,   82.6889,    13.215,         0
69        ,mp-1334   ,Y2C       ,      63.0,      60.0,26.0      ,0.28      ,2.12      , 50.458275,     5.044,         0
70        ,mp-1552   ,Mo2C      ,     294.0,     294.0,148.0     ,0.28      ,1.9       ,  53.97535,    21.776,         0
71        ,mp-15660  ,Nb4C3     ,     289.0,     289.0,141.0     ,0.29      ,1.98      ,  52.45854,    20.609,0.16663047321428515
72        ,mp-15661  ,Sc4C3     ,     112.0,     112.0,66.0      ,0.25      ,1.84      , 28.483306,     9.434,         0
73        ,mp-16290  ,ZnNi3C    ,     190.0,     190.0,52.0      ,0.36      ,1.49      ,45.37103333333334,    14.282,0.041929141999998976
74        ,mp-16297  ,Sc3SnC    ,     102.0,     102.0,81.0      ,0.18      ,1.84      ,58.55887066666666,    13.049,         0
75        ,mp-16733  ,Sc2GaC    ,      86.0,      86.0,49.0      ,0.25      ,1.84      ,42.22987066666666,     7.527,0.054245381145832106
76        ,mp-1695   ,Y2C3      ,     120.0,     120.0,59.0      ,0.28      ,2.12      , 50.458275,     9.622,0.044294010159990904
77        ,mp-18093  ,Al2Mo3C   ,     226.0,     226.0,77.0      ,0.34      ,1.9       ,44.97741286666667,    15.697,0.05214720660714178
78        ,mp-18257  ,Fe7C3     ,     242.0,     241.0,92.0      ,0.33      ,1.56      ,  33.92785,    16.641,0.1506534515000002
79        ,mp-18468  ,Mn5SiC    ,     221.0,     218.0,109.0     ,0.28      ,1.61      ,31.678081666666667,    16.993,0.09306478693877551
80        ,mp-1871   ,Fe2C      ,     223.0,     219.0,98.0      ,0.3       ,1.56      ,  33.92785,    16.605,0.2258421600000009
81        ,mp-1894   ,WC        ,     387.0,     383.0,276.0     ,0.21      ,1.93      ,97.92535000000001,    34.659,         0
82        ,mp-19741  ,CeNiC2    ,     156.0,     144.0,68.0      ,0.29      ,1.85      ,70.27336666666667,    13.072,0.002700455416666969
83        ,mp-19817  ,Y3InC     ,      77.0,      77.0,63.0      ,0.18      ,2.12      ,71.91151666666667,     9.727,         0
84        ,mp-19821  ,Cr2GeC    ,     202.0,     202.0,81.0      ,0.32      ,1.66      ,45.54893333333333,    14.658,0.00014202906249671798
85        ,mp-19835  ,Nb2InC    ,     158.0,     158.0,96.0      ,0.25      ,1.98      ,73.24502666666666,    13.883,         0
86        ,mp-20004  ,Zr2InC    ,     119.0,     118.0,82.0      ,0.22      ,2.06      ,72.68423333333334,    12.044,         0
87        ,mp-20097  ,Pt3PbC    ,     111.0,     111.0,17.0      ,0.43      ,1.77      ,138.09823333333333,     8.852,0.49013050499999977
88        ,mp-20175  ,Sc2InC    ,      82.0,      81.0,52.0      ,0.23      ,1.84      ,57.26153733333333,     7.936,0.012989253749999818
