Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
200       ,mp-754628 ,WN2       ,     121.0,     121.0,25.0      ,0.4       ,1.93      ,  98.92335,     9.131,0.08751082710333158
201       ,mp-754629 ,WN2       ,     103.0,     103.0,26.0      ,0.38      ,1.93      ,  98.92335,     7.432,0.09863283932555333
202       ,mp-7575   ,LiZnN     ,     116.0,     116.0,82.0      ,0.21      ,1.67      ,28.785566666666668,    11.991,         0
203       ,mp-7790   ,Ti2N      ,     181.0,     177.0,102.0     ,0.26      ,1.76      ,  30.93685,    14.627,0.014623128333333568
204       ,mp-7927   ,Nb4N5     ,     271.0,     268.0,149.0     ,0.26      ,1.98      ,  53.45654,    21.532,0.02868806505822441
205       ,mp-8045   ,V5P3N     ,     214.0,     207.0,91.0      ,0.31      ,1.71      ,31.97398733333333,    15.168,0.06677701055555652
206       ,mp-8046   ,Ta4N5     ,     294.0,     291.0,162.0     ,0.25      ,2.0       ,  97.47729,    25.011,0.0309478681746036
207       ,mp-8101   ,WN2       ,     311.0,     309.0,41.0      ,0.4       ,1.93      ,  98.92335,    26.453,0.6573668804366655
208       ,mp-8102   ,W3N4      ,     315.0,     315.0,85.0      ,0.36      ,1.93      ,  98.92335,    22.542,0.3743266742857152
209       ,mp-8282   ,Ti2N      ,     204.0,     204.0,108.0     ,0.26      ,1.76      ,  30.93685,    16.701,         0
210       ,mp-864954 ,MgMoN2    ,     247.0,     246.0,181.0     ,0.2       ,1.9       ,44.750566666666664,    24.674,         0
211       ,mp-8670   ,Ca3CrN3   ,      86.0,      86.0,51.0      ,0.25      ,1.94      ,35.36026666666667,     7.161,         0
212       ,mp-867221 ,Ce3(TaN3)2,     169.0,     165.0,82.0      ,0.29      ,2.0       ,111.69019333333335,    13.534,         0
213       ,mp-8780   ,Cr2N      ,     285.0,     285.0,136.0     ,0.29      ,1.66      ,   33.0014,    20.253,         0
214       ,mp-8804   ,Li6MoN4   ,      84.0,      83.0,67.0      ,0.18      ,1.9       ,38.96256666666667,    10.536,         0
215       ,mp-8818   ,Ca2ZnN2   ,      82.0,      78.0,42.0      ,0.26      ,1.94      ,39.83123333333334,     7.018,         0
216       ,mp-8927   ,TaCuN2    ,     206.0,     200.0,36.0      ,0.36      ,2.0       ,  86.16686,    19.002,0.12649085313499953
217       ,mp-8978   ,CsNbN2    ,      96.0,      96.0,28.0      ,0.36      ,2.98      ,79.93951063333334,     6.583,0.007796012187499812
