Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
345,mp-27769,V3AsC,195.0,187.0,69.0,0.32,1.71,45.95793333333334,15.084000547720029,0
346,mp-27919,Ti8C5,171.0,169.0,113.0,0.22,1.76,29.93885,16.380317111532463,0
347,mp-2794,Fe5C2,234.0,233.0,78.0,0.33,1.56,33.92785,17.21047545649273,0.05813853714285777
348,mp-2795,ZrC,221.0,221.0,159.0,0.21,2.06,51.61735,21.350014297094056,0
349,mp-27953,Mo2N,302.0,298.0,78.0,0.37,1.9,54.973349999999996,20.68618652362091,0.004058545833331095
350,mp-2811,MoN,334.0,320.0,192.0,0.25,1.9,54.973349999999996,26.520349429379635,0
351,mp-2828,HfN,266.0,266.0,149.0,0.25,2.08,96.24835,22.825246632734,0
352,mp-2850,B2Os,314.0,308.0,150.0,0.27,1.85,100.5205,25.566106054876506,0
353,mp-2857,ScN,200.0,200.0,155.0,0.19,1.84,29.481306,21.086174382794063,0
354,mp-28614,NaBPt3,156.0,153.0,19.0,0.39,1.9,76.29492309333334,15.721632659332306,0
355,mp-28731,V6C5,238.0,238.0,173.0,0.21,1.71,31.4761,22.218854218698112,0
356,mp-28786,Zn(BIr)2,222.0,222.0,107.0,0.29,1.8,89.479,17.304949654011608,0
357,mp-2880,LuB2Os3,260.0,260.0,129.0,0.29,2.17,125.33600000000001,19.611432001102898,0.07957078666666817
358,mp-28896,CuBIr,194.0,188.0,64.0,0.34,1.8,88.858,14.676576509852238,0
359,mp-28897,BIrPd,236.0,236.0,66.0,0.36,1.8,103.14933333333335,17.503336005891327,0
360,mp-29026,MnWN2,289.0,288.0,107.0,0.33,1.93,84.26158166666667,20.329143986100995,0.14787540093750096
361,mp-29056,La3InC,28.0,28.0,40.0,0.02,1.95 ang,88.57805666666667,54.39313486821732,0
362,mp-29076,FeWN2,227.0,222.0,104.0,0.27,1.93,84.5639,19.749974453400128,0.28997651468750085
363,mp-29136,Sr6Cu3N5,61.0,61.0,26.0,0.31,2.19,55.057566666666666,3.6565119153641685,0
364,mp-29175,Ca2AuN,59.0,59.0,31.0,0.27,1.94,83.68375633333333,4.3160047564965005,0
365,mp-2930,Mn3ZnC,192.0,192.0,70.0,0.34,1.61,44.11924833333334,13.44071935139248,0.025726689424500293
366,mp-2933,Pr2(ReB2)3,214.0,212.0,116.0,0.27,2.47,112.64188333333333,17.371320375654967,0
367,mp-29674,Al2B2Ru3,230.0,229.0,100.0,0.31,1.78,46.28751286666667,16.41083304491241,0.07856723642856611
368,mp-29725,YBRh3,158.0,158.0,72.0,0.29,2.12,67.54078333333332,12.705315459897959,0
369,mp-2979,ZnGeN2,163.0,163.0,93.0,0.26,1.42,50.685233333333336,14.105566858616976,0
370,mp-29896,Y2B3C2,153.0,146.0,31.0,0.31,2.12,37.24251666666667,15.963148507224544,0
371,mp-29964,La3(TaN3)2,168.0,167.0,86.0,0.28,2.0,111.28668333333333,13.789683247914498,0
372,mp-3000,Cr3GaN,236.0,236.0,107.0,0.29,1.66,45.24193333333333,18.214909521913363,0.022960734833333163
373,mp-3088,LaBRh3,153.0,153.0,59.0,0.32,1.95 ang,84.20732333333335,11.77641041639975,0
374,mp-3092,DyB2Ru3,207.0,207.0,105.0,0.28,2.28,91.46033333333332,16.436338992377827,0
375,mp-3093,ErB2Ru3,215.0,215.0,105.0,0.29,2.26,93.04666666666667,16.49234762820761,0
376,mp-3103,Nb4AlC3,216.0,215.0,145.0,0.22,1.98,43.96620620000001,20.14510726255063,0.006751132656255265
377,mp-3104,BaZrN2,102.0,98.0,35.0,0.32,2.53,80.85256666666666,8.090390275357704,0
